Tradable Stock # 5,000070.KS,000080.KS,000100.KS,000120.KS,000150.KS
Generation # 0,0,0,0,0,1,| Fittest Chromosome Fitness,1.2174297576342161
chromosome #0,0,0,0,0,1,| Fitness,1.2174297576342161
chromosome #1,0,0,0,0,0,| Fitness,0.0
chromosome #2,0,0,0,0,0,| Fitness,0.0
chromosome #3,0,0,0,0,0,| Fitness,0.0
chromosome #4,0,0,0,0,0,| Fitness,0.0
chromosome #5,0,0,0,0,0,| Fitness,0.0
chromosome #6,0,0,0,0,0,| Fitness,0.0
chromosome #7,1,0,0,0,0,| Fitness,-0.0754945726668121
chromosome #8,1,0,0,0,0,| Fitness,-0.0754945726668121
chromosome #9,0,1,0,0,0,| Fitness,-1.9765373293444957
Tradable Stock # 5,000070.KS,000080.KS,000100.KS,000120.KS,000150.KS
Generation # 1,0,0,0,0,1,| Fittest Chromosome Fitness,1.2174297576342161
chromosome #0,0,0,0,0,1,| Fitness,1.2174297576342161
chromosome #1,0,0,0,0,0,| Fitness,0.0
chromosome #2,0,0,0,0,0,| Fitness,0.0
chromosome #3,0,0,0,0,0,| Fitness,0.0
chromosome #4,0,0,0,0,0,| Fitness,0.0
chromosome #5,0,0,0,0,0,| Fitness,0.0
chromosome #6,0,0,0,0,0,| Fitness,0.0
chromosome #7,0,0,0,0,0,| Fitness,0.0
chromosome #8,0,0,0,0,0,| Fitness,0.0
chromosome #9,1,0,0,0,0,| Fitness,-0.0754945726668121
Tradable Stock # 5,000070.KS,000080.KS,000100.KS,000120.KS,000150.KS
Generation # 2,0,0,0,0,1,| Fittest Chromosome Fitness,1.2174297576342161
chromosome #0,0,0,0,0,1,| Fitness,1.2174297576342161
chromosome #1,0,0,0,0,1,| Fitness,1.2174297576342161
chromosome #2,0,0,0,0,0,| Fitness,0.0
chromosome #3,0,0,0,0,0,| Fitness,0.0
chromosome #4,0,0,0,0,0,| Fitness,0.0
chromosome #5,0,0,0,0,0,| Fitness,0.0
chromosome #6,0,0,0,0,0,| Fitness,0.0
chromosome #7,0,0,0,0,0,| Fitness,0.0
chromosome #8,0,0,0,0,0,| Fitness,0.0
chromosome #9,0,0,0,0,0,| Fitness,0.0
Tradable Stock # 5,000070.KS,000080.KS,000100.KS,000120.KS,000150.KS
Generation # 3,0,0,0,0,1,| Fittest Chromosome Fitness,1.2174297576342161
chromosome #0,0,0,0,0,1,| Fitness,1.2174297576342161
chromosome #1,0,0,0,0,1,| Fitness,1.2174297576342161
chromosome #2,0,0,0,0,1,| Fitness,1.2174297576342161
chromosome #3,0,0,0,0,1,| Fitness,1.2174297576342161
chromosome #4,0,0,0,0,1,| Fitness,1.2174297576342161
chromosome #5,0,0,0,0,1,| Fitness,1.2174297576342161
chromosome #6,0,0,0,0,0,| Fitness,0.0
